CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
UH Maui College,Agriculture,Associate in Applied Science,Hort/Landscape Maintenance,Agriculture (Associate in Applied Science - Hort/Landscape Maintenance),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Associate in Science,,Plant Biology and Tropical Ag (Associate in Science),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Certificate of Competence,,Plant Biology and Tropical Ag (Certificate of Competence),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Agribusiness,Agriculture (Bachelor of Science - Agribusiness),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,General,Agriculture (Bachelor of Science - General),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Tropical Horticulture,Agriculture (Bachelor of Science - Tropical Horticulture),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Sustainable Agriculture,Academic Subject Certificate,,Sustainable Agriculture (Academic Subject Certificate),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Natural Res & Environmentl Mgt,Agriculture (Certificate of Competence - Natural Res & Environmentl Mgt),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Sustainable Tropical Crop Prod,Agriculture (Certificate of Competence - Sustainable Tropical Crop Prod),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Landscape Maintenance,Agriculture (Certificate of Competence - Landscape Maintenance),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Subject Certificate,Tropical Farming,Agriculture (Subject Certificate - Tropical Farming),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Certificate of Achievement,,Plant Biology and Tropical Ag (Certificate of Achievement),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Trop Conserv Bio & Environ Sci,Master of Science,,Trop Conserv Bio & Environ Sci (Master of Science),030104,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at West Oahu,Environmental Studies,Subject Certificate,,Environmental Studies (Subject Certificate),030103,NATURAL RESOURCES AND CONSERVATION
UH Maui College,Cultural & Natrl Resource Mgt,Associate in Technical Studies,,Cultural & Natrl Resource Mgt (Associate in Technical Studies),030201,NATURAL RESOURCES AND CONSERVATION
Hawaii Community College,Trop Forest Ecosys & Agrof Mgt,Certificate of Achievement,,Trop Forest Ecosys & Agrof Mgt (Certificate of Achievement),030599,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Urban and Regional Planning,Master of Urban & Reg Plan,,Urban and Regional Planning (Master of Urban & Reg Plan),040301,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Manoa,Urban and Regional Planning,Doctor of Philosophy,,Urban and Regional Planning (Doctor of Philosophy),040301,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Manoa,American Studies,Doctor of Philosophy,,American Studies (Doctor of Philosophy),050102,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
UH Maui College,Hawaiian Studies,Academic Subject Certificate,,Hawaiian Studies (Academic Subject Certificate),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Master of Arts,,Hawaiian Studies (Master of Arts),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Bachelor of Science,Monitoring the Culture,Hawaiian Studies (Bachelor of Science - Monitoring the Culture),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Subject Certificate,Multidisciplinary Hawn Studies,Hawaiian Studies (Subject Certificate - Multidisciplinary Hawn Studies),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Hawaii Community College,Hawaiian Studies,Academic Subject Certificate,Hawaiian Life Styles,Hawaiian Studies (Academic Subject Certificate - Hawaiian Life Styles),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Asian Studies,Graduate Certificate,,Asian Studies (Graduate Certificate),050103,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kauai Community College,Hawaiian Studies,Academic Subject Certificate,Hookele (Polynesian Voyaging),Hawaiian Studies (Academic Subject Certificate - Hookele (Polynesian Voyaging)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Hawaii Community College,Hawaiian Life Styles,Associate in Applied Science,Mahi'ai (Farming),Hawaiian Life Styles (Associate in Applied Science - Mahi'ai (Farming)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Japanese Studies,Subject Certificate,Filipino Studies,Japanese Studies (Subject Certificate - Filipino Studies),050127,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Hawaii Community College,Hawaiian Studies,Associate in Arts,Mahi'ai (Farming),Hawaiian Studies (Associate in Arts - Mahi'ai (Farming)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Leeward Community College,Hawaiian Studies,Academic Subject Certificate,,Hawaiian Studies (Academic Subject Certificate),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kauai Community College,Hawaiian Studies,Academic Subject Certificate,Malama Aina,Hawaiian Studies (Academic Subject Certificate - Malama Aina),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Pacific Islands Studies,Master of Arts,,Pacific Islands Studies (Master of Arts),050109,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Journalism,Bachelor of Arts,,Journalism (Bachelor of Arts),090401,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS"
Leeward Community College,Creative Media,Academic Subject Certificate,Interactive Media,Creative Media (Academic Subject Certificate - Interactive Media),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Windward Community College,Creative Media,Academic Subject Certificate,Creative Filmmaking,Creative Media (Academic Subject Certificate - Creative Filmmaking),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Kauai Community College,Creative Media,Certificate of Competence,Animation,Creative Media (Certificate of Competence - Animation),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Kauai Community College,Creative Media,Certificate of Competence,Event Technology,Creative Media (Certificate of Competence - Event Technology),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Kauai Community College,Creative Media,Certificate of Competence,Music Production,Creative Media (Certificate of Competence - Music Production),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Hawaii Community College,Creative Media,Associate in Science,,Creative Media (Associate in Science),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Associate in Science,,Creative Media (Associate in Science),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Associate in Science,Internet Publishing,Digital Media Production (Associate in Science - Internet Publishing),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Kapiolani Community College,Information Technology,Advanced Prof Certificate-UHCC,,Information Technology (Advanced Prof Certificate-UHCC),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Certificate of Competence,Basic Logic and Programming 1,Information& Computer Sciences (Certificate of Competence - Basic Logic and Programming 1),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Certificate of Competence,Mobile Developer Specialist,Information& Computer Sciences (Certificate of Competence - Mobile Developer Specialist),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Certificate of Competence,,Digital Media Production (Certificate of Competence),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Kapiolani Community College,Information Technology,Certificate of Competence,Information Security Assurance,Information Technology (Certificate of Competence - Information Security Assurance),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Computer Science,Master of Science,,Computer Science (Master of Science),110701,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Associate in Science,Data Science,Information& Computer Sciences (Associate in Science - Data Science),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Kapiolani Community College,Information Technology,Certificate of Competence,Programming,Information Technology (Certificate of Competence - Programming),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Kapiolani Community College,Information Technology,Certificate of Competence,Data Science,Information Technology (Certificate of Competence - Data Science),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Information& Computer Sciences,Bachelor of Arts,Security Science,Information& Computer Sciences (Bachelor of Arts - Security Science),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
UH Maui College,Culinary Arts,Associate in Applied Science,Restaurant Supervision,Culinary Arts (Associate in Applied Science - Restaurant Supervision),120500,PERSONAL AND CULINARY SERVICES
UH Maui College,Culinary Arts,Certificate of Competence,Short Order Cook,Culinary Arts (Certificate of Competence - Short Order Cook),120500,PERSONAL AND CULINARY SERVICES
Leeward Community College,Culinary Arts,Certificate of Competence,Baking,Culinary Arts (Certificate of Competence - Baking),120500,PERSONAL AND CULINARY SERVICES
Hawaii Community College,Food Service,Associate in Applied Science,,Food Service (Associate in Applied Science),120500,PERSONAL AND CULINARY SERVICES
University of Hawaii at Manoa,"Sec Education, Speech",Bachelor of Education,,"Sec Education, Speech (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,"Sec Education, Russian",Bachelor of Education,,"Sec Education, Russian (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,"Sec Education, Hawn Studies",Bachelor of Education,,"Sec Education, Hawn Studies (Bachelor of Education)",131205,EDUCATION
Kauai Community College,Early Childhood Education,Certificate of Competence,,Early Childhood Education (Certificate of Competence),131210,EDUCATION
Honolulu Community College,Early Childhood Education,Certificate of Achievement,Early Child Ed (Preschool),Early Childhood Education (Certificate of Achievement - Early Child Ed (Preschool)),131210,EDUCATION
University of Hawaii at Manoa,"Sec Ed, Commercial",Bachelor of Education,,"Sec Ed, Commercial (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Hilo,Teaching,Master of Arts,Elementary Education,Teaching (Master of Arts - Elementary Education),131299,EDUCATION
University of Hawaii at Manoa,Curriculum Studies,Graduate Certificate,Literacy Leader,Curriculum Studies (Graduate Certificate - Literacy Leader),130301,EDUCATION
University of Hawaii at Manoa,Learning Design and Technology,Master of Education,,Learning Design and Technology (Master of Education),130501,EDUCATION
University of Hawaii at Manoa,Curriculum Studies,Graduate Certificate,Ethnomathematics,Curriculum Studies (Graduate Certificate - Ethnomathematics),130301,EDUCATION
University of Hawaii at Manoa,Secondary Education,Bachelor of Education,,Secondary Education (Bachelor of Education),131205,EDUCATION
University of Hawaii at Manoa,"Sec Education, Hawaiian",Bachelor of Education,,"Sec Education, Hawaiian (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,Special Education,Bachelor of Education,Mild/Moderate Disabilities,Special Education (Bachelor of Education - Mild/Moderate Disabilities),131001,EDUCATION
Honolulu Community College,Early Childhood Education,Certificate of Competence,Practitioner I ECED,Early Childhood Education (Certificate of Competence - Practitioner I ECED),131210,EDUCATION
University of Hawaii at Manoa,Education,Doctor of Philosophy,Educational Policy,Education (Doctor of Philosophy - Educational Policy),130101,EDUCATION
UH Maui College,Early Childhood Education,Associate in Science,,Early Childhood Education (Associate in Science),131210,EDUCATION
University of Hawaii at Manoa,Electrical Engineering,Doctor of Philosophy,,Electrical Engineering (Doctor of Philosophy),141001,ENGINEERING
University of Hawaii at Manoa,Ocean & Resources Engineering,Doctor of Philosophy,,Ocean & Resources Engineering (Doctor of Philosophy),142401,ENGINEERING
University of Hawaii at Manoa,Construction Engineering,Bachelor of Science,,Construction Engineering (Bachelor of Science),143301,ENGINEERING
University of Hawaii at Manoa,Biological Engineering,Master of Science,,Biological Engineering (Master of Science),140301,ENGINEERING
University of Hawaii at Manoa,Ocean & Resources Engineering,Master of Science,,Ocean & Resources Engineering (Master of Science),142401,ENGINEERING
Kauai Community College,Electronics Technology,Certificate of Achievement,,Electronics Technology (Certificate of Achievement),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Kauai Community College,Electronics Technology,Associate in Science,,Electronics Technology (Associate in Science),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Honolulu Community College,"Architecture,Eng.&Construction",Associate in Science,Construction Management,"Architecture,Eng.&Construction (Associate in Science - Construction Management)",151001,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
University of Hawaii at Hilo,Hawn&Indigenous Lang&Cult Rev,Doctor of Philosophy,,Hawn&Indigenous Lang&Cult Rev (Doctor of Philosophy),161409,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,German,Bachelor of Arts,,German (Bachelor of Arts),160501,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Spanish,Bachelor of Arts,,Spanish (Bachelor of Arts),160905,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Lang & Lit of Europe & Amer,Bachelor of Arts,German Studies,Lang & Lit of Europe & Amer (Bachelor of Arts - German Studies),169999,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
Honolulu Community College,Fashion Technology,Certificate of Competence,,Fashion Technology (Certificate of Competence),190902,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
University of Hawaii at Manoa,Fashion Design & Merchandising,Bachelor of Science,,Fashion Design & Merchandising (Bachelor of Science),190901,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
Windward Community College,Liberal Arts,Associate in Arts,,Liberal Arts (Associate in Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,,Liberal Arts (Associate in Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Associate in Arts,,Liberal Arts (Associate in Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Windward Community College,Liberal Arts,Associate in Arts,Art,Liberal Arts (Associate in Arts - Art),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Leeward Community College,Liberal Arts,Associate in Arts,,Liberal Arts (Associate in Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
UH Maui College,Liberal Arts,Academic Subject Certificate,Music,Liberal Arts (Academic Subject Certificate - Music),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Associate in Arts,Administration of Justice,Liberal Arts (Associate in Arts - Administration of Justice),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
UH Maui College,Liberal Arts,Associate in Arts,Exploratory Health Sciences,Liberal Arts (Associate in Arts - Exploratory Health Sciences),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Leeward Community College,Liberal Arts,Academic Subject Certificate,History,Liberal Arts (Academic Subject Certificate - History),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Windward Community College,Liberal Arts,Academic Subject Certificate,Ahupuaa (Land & Ocean Sys),Liberal Arts (Academic Subject Certificate - Ahupuaa (Land & Ocean Sys)),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Windward Community College,Liberal Arts,Academic Subject Certificate,Hawaiian Knowledge Innovation,Liberal Arts (Academic Subject Certificate - Hawaiian Knowledge Innovation),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Secondary Education,Liberal Arts (Associate in Arts - Secondary Education),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Education,Liberal Arts (Associate in Arts - Education),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Elementary Education,Liberal Arts (Associate in Arts - Elementary Education),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,National Student Exchange (Jr),Non Degree,,National Student Exchange (Jr) (Non Degree),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,Biomed Sci (Tropical Medicine),Doctor of Philosophy,,Biomed Sci (Tropical Medicine) (Doctor of Philosophy),260503,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Hilo,Marine Science,Bachelor of Arts,,Marine Science (Bachelor of Arts),261302,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Zoology,Master of Science,Marine Biology,Zoology (Master of Science - Marine Biology),260701,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Biochemistry,Bachelor of Science,,Biochemistry (Bachelor of Science),260202,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Clinical Research,Graduate Certificate,,Clinical Research (Graduate Certificate),260102,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Mathematics,Bachelor of Science,Computational Science,Mathematics (Bachelor of Science - Computational Science),270101,MATHEMATICS AND STATISTICS
University of Hawaii at Manoa,Mathematics,Doctor of Philosophy,,Mathematics (Doctor of Philosophy),270101,MATHEMATICS AND STATISTICS
Kauai Community College,Natural Science,Associate in Science,Biological Sciences,Natural Science (Associate in Science - Biological Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Natural Science,Associate in Science,Biological Sciences,Natural Science (Associate in Science - Biological Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Natural Science,Bachelor of Arts,Physics,Natural Science (Bachelor of Arts - Physics),301801,MULTI/INTERDISCIPLINARY STUDIES
Kauai Community College,Natural Science,Associate in Science,Engineering,Natural Science (Associate in Science - Engineering),301801,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Natural Science,Certificate of Achievement,Biological Sciences,Natural Science (Certificate of Achievement - Biological Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Religions & Ancient Civs,Bachelor of Arts,Religious Traditions,Religions & Ancient Civs (Bachelor of Arts - Religious Traditions),302299,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Religions & Ancient Civs,Bachelor of Arts,BAM Ancient Civilizations,Religions & Ancient Civs (Bachelor of Arts - BAM Ancient Civilizations),302299,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Data Science,Bachelor of Science,Business,Data Science (Bachelor of Science - Business),307001,MULTI/INTERDISCIPLINARY STUDIES
Kauai Community College,Natural Science,Associate in Science,Physical Sciences,Natural Science (Associate in Science - Physical Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Historic Preservation,Graduate Certificate,,Historic Preservation (Graduate Certificate),301201,MULTI/INTERDISCIPLINARY STUDIES
Windward Community College,Natural Science,Associate in Science,Natural Res & Environmentl Mgt,Natural Science (Associate in Science - Natural Res & Environmentl Mgt),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at West Oahu,Applied Science,Bachelor of Applied Science,Comp Electronics&Network Tech,Applied Science (Bachelor of Applied Science - Comp Electronics&Network Tech),309999,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Exercise and Sport Science,Associate in Science,,Exercise and Sport Science (Associate in Science),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Manoa,Kinesiology & Rehab Science,Master of Science,,Kinesiology & Rehab Science (Master of Science),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Hilo,Health and Physical Education,Bachelor of Arts,,Health and Physical Education (Bachelor of Arts),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Manoa,Religious Trads Asia&Pacific,Master of Arts,,Religious Trads Asia&Pacific (Master of Arts),380201,PHILOSOPHY AND RELIGIOUS STUDIES
University of Hawaii at Manoa,Physics,Master of Science,,Physics (Master of Science),400801,PHYSICAL SCIENCES
University of Hawaii at Manoa,Physics,Doctor of Philosophy,,Physics (Doctor of Philosophy),400801,PHYSICAL SCIENCES
University of Hawaii at Manoa,Chemistry,Master of Science,,Chemistry (Master of Science),400501,PHYSICAL SCIENCES
University of Hawaii at Hilo,Chemistry,Bachelor of Arts,Biosciences,Chemistry (Bachelor of Arts - Biosciences),400501,PHYSICAL SCIENCES
University of Hawaii at Hilo,Chemistry,Subject Certificate,General (Pre-Pharmacy),Chemistry (Subject Certificate - General (Pre-Pharmacy)),400501,PHYSICAL SCIENCES
University of Hawaii at Manoa,Earth Sciences,Bachelor of Science,,Earth Sciences (Bachelor of Science),400601,PHYSICAL SCIENCES
University of Hawaii at Manoa,Physics,Bachelor of Arts,,Physics (Bachelor of Arts),400801,PHYSICAL SCIENCES
Honolulu Community College,Marine Option Program,Academic Subject Certificate,,Marine Option Program (Academic Subject Certificate),400699,PHYSICAL SCIENCES
University of Hawaii at Manoa,Psychology,Bachelor of Arts,,Psychology (Bachelor of Arts),420101,PSYCHOLOGY
UH Maui College,Administration of Justice,Certificate of Achievement,,Administration of Justice (Certificate of Achievement),430107,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
UH Maui College,Administration of Justice,Certificate of Competence,Law Enforcement I,Administration of Justice (Certificate of Competence - Law Enforcement I),430107,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
University of Hawaii at Manoa,Social Work,Bachelor of Social Work,,Social Work (Bachelor of Social Work),440701,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at Manoa,Public Administration,Master of Public Admin,,Public Administration (Master of Public Admin),440401,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
UH Maui College,Human Services,Certificate of Competence,Case Management,Human Services (Certificate of Competence - Case Management),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at West Oahu,Public Administration,Subject Certificate,Long Term Care,Public Administration (Subject Certificate - Long Term Care),440401,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at Manoa,Political Science,Master of Arts,,Political Science (Master of Arts),451001,SOCIAL SCIENCES
University of Hawaii at Manoa,Anthropology,Doctor of Philosophy,"Ecology, Evolutn, Conserv Biol","Anthropology (Doctor of Philosophy - Ecology, Evolutn, Conserv Biol)",450201,SOCIAL SCIENCES
University of Hawaii at Hilo,Anthropology,Bachelor of Arts,,Anthropology (Bachelor of Arts),450201,SOCIAL SCIENCES
University of Hawaii at Manoa,Global Hlth Protect & Security,Graduate Certificate,,Global Hlth Protect & Security (Graduate Certificate),450501,SOCIAL SCIENCES
University of Hawaii at Hilo,Political Science,Subject Certificate,Public Policy,Political Science (Subject Certificate - Public Policy),451001,SOCIAL SCIENCES
University of Hawaii at West Oahu,Social Science,Bachelor of Arts,Political Science,Social Science (Bachelor of Arts - Political Science),450101,SOCIAL SCIENCES
University of Hawaii at West Oahu,Social Science,Subject Certificate,Gender Studies,Social Science (Subject Certificate - Gender Studies),450101,SOCIAL SCIENCES
Hawaii Community College,Carpentry Technology,Certificate of Achievement,,Carpentry Technology (Certificate of Achievement),460201,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Associate in Applied Science,,Sustainable Construction Tech (Associate in Applied Science),460000,CONSTRUCTION TRADES
Honolulu Community College,Carpentry Technology,Certificate of Achievement,Finishing,Carpentry Technology (Certificate of Achievement - Finishing),460201,CONSTRUCTION TRADES
Honolulu Community College,Carpentry Technology,Associate in Applied Science,,Carpentry Technology (Associate in Applied Science),460201,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Associate in Applied Science,Facilities Mechanical,Construction Technology (Associate in Applied Science - Facilities Mechanical),460415,CONSTRUCTION TRADES
Kauai Community College,Carpentry Technology,Certificate of Competence,Facilities Maintenance Tech,Carpentry Technology (Certificate of Competence - Facilities Maintenance Tech),460201,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Certificate of Competence,Energy Production,Sustainable Construction Tech (Certificate of Competence - Energy Production),460000,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Certificate of Competence,Rough & Finish Carpentry,Sustainable Construction Tech (Certificate of Competence - Rough & Finish Carpentry),460000,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Certificate of Competence,,Construction Technology (Certificate of Competence),460415,CONSTRUCTION TRADES
Honolulu Community College,Diesel Mechanics,Associate in Applied Science,,Diesel Mechanics (Associate in Applied Science),470605,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Honolulu Community College,Diesel Mechanics,Certificate of Achievement,,Diesel Mechanics (Certificate of Achievement),470605,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Hawaii Community College,Diesel Mechanics,Associate in Applied Science,,Diesel Mechanics (Associate in Applied Science),470605,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Honolulu Community College,Automotive Technology,Associate in Applied Science,,Automotive Technology (Associate in Applied Science),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Honolulu Community College,Automotive Technology,Certificate of Achievement,,Automotive Technology (Certificate of Achievement),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
UH Maui College,Automotive Technology,Associate in Applied Science,Auto Body Repair & Painting,Automotive Technology (Associate in Applied Science - Auto Body Repair & Painting),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
UH Maui College,Auto Body Repair & Painting,Certificate of Competence,Corrosion,Auto Body Repair & Painting (Certificate of Competence - Corrosion),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Associate in Applied Science,,Automotive Technology (Associate in Applied Science),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Competence,HEV Preventive Maint. & Repair,Automotive Technology (Certificate of Competence - HEV Preventive Maint. & Repair),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
